step_idx,time,phase_increment,phase_cumulative
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+01,4.000000000000000222e-01,8.146095435763238690e-01,8.146095435763238690e-01
1.600000000000000000e+02,8.000000000000000444e-01,8.146050731135466849e-01,1.629214616689870443e+00
2.400000000000000000e+02,1.199999999999999956e+00,8.145970609900718973e-01,2.443811677679942562e+00
3.200000000000000000e+02,1.600000000000000089e+00,8.145970860646953859e-01,3.258408763744637948e+00
4.000000000000000000e+02,2.000000000000000000e+00,8.145954006443321127e-01,4.073004164388970061e+00
4.800000000000000000e+02,2.399999999999999911e+00,8.146042165574081118e-01,4.887608380946378617e+00
5.600000000000000000e+02,2.800000000000000266e+00,8.145980236000597285e-01,5.702206404546438456e+00
6.400000000000000000e+02,3.200000000000000178e+00,8.145830625931237412e-01,6.516789467139561864e+00
7.200000000000000000e+02,3.600000000000000089e+00,8.145860610887730724e-01,7.331375528228335270e+00
8.000000000000000000e+02,4.000000000000000000e+00,8.145934966619836626e-01,8.145969024890318266e+00
8.800000000000000000e+02,4.400000000000000355e+00,8.145946151733364227e-01,8.960563640063654134e+00
9.600000000000000000e+02,4.799999999999999822e+00,8.145854546077574421e-01,9.775149094671411021e+00
1.040000000000000000e+03,5.200000000000000178e+00,8.145750559845978955e-01,1.058972415065600892e+01
1.120000000000000000e+03,5.600000000000000533e+00,8.145652572287072068e-01,1.140428940788471657e+01
1.200000000000000000e+03,6.000000000000000000e+00,8.145525356645960668e-01,1.221884194354931275e+01
1.280000000000000000e+03,6.400000000000000355e+00,8.145546780506698337e-01,1.303339662159998191e+01
1.360000000000000000e+03,6.799999999999999822e+00,8.145656096406368452e-01,1.384796223124061854e+01
1.440000000000000000e+03,7.200000000000000178e+00,8.145650535694649585e-01,1.466252728481008383e+01
1.520000000000000000e+03,7.600000000000000533e+00,8.145557407164575325e-01,1.547708302552654125e+01
1.600000000000000000e+03,8.000000000000000000e+00,8.145548965428458521e-01,1.629163792206938766e+01
1.680000000000000000e+03,8.400000000000000355e+00,8.145563549752802279e-01,1.710619427704466844e+01
1.760000000000000000e+03,8.800000000000000711e+00,8.145524103231809310e-01,1.792074668736784915e+01
1.840000000000000000e+03,9.200000000000001066e+00,8.145528550657850086e-01,1.873529954243363349e+01
1.920000000000000000e+03,9.599999999999999645e+00,8.145472740590814498e-01,1.954984681649271394e+01
2.000000000000000000e+03,1.000000000000000000e+01,8.145363305552146826e-01,2.036438314704792774e+01
2.080000000000000000e+03,1.040000000000000036e+01,8.145340503457554338e-01,2.117891719739368384e+01
2.160000000000000000e+03,1.080000000000000071e+01,8.145407467874455909e-01,2.199345794418113087e+01
2.240000000000000000e+03,1.120000000000000107e+01,8.145434430833798922e-01,2.280800138726451110e+01
2.320000000000000000e+03,1.159999999999999964e+01,8.145465874078949842e-01,2.362254797467240763e+01
2.400000000000000000e+03,1.200000000000000000e+01,8.145447044767653022e-01,2.443709267914917405e+01
2.480000000000000000e+03,1.240000000000000036e+01,8.145251494338869858e-01,2.525161782858306125e+01
2.560000000000000000e+03,1.280000000000000071e+01,8.145281910301896966e-01,2.606614601961324951e+01
2.640000000000000000e+03,1.320000000000000107e+01,8.145539972062842971e-01,2.688070001681953514e+01
2.720000000000000000e+03,1.359999999999999964e+01,8.145674018101919378e-01,2.769526741862972585e+01
2.800000000000000000e+03,1.400000000000000000e+01,8.145611728416236597e-01,2.850982859147135073e+01
2.880000000000000000e+03,1.440000000000000036e+01,8.145481951410049604e-01,2.932437678661235481e+01
2.960000000000000000e+03,1.480000000000000071e+01,8.145452501027384828e-01,3.013892203671509407e+01
3.040000000000000000e+03,1.520000000000000107e+01,8.145332496635638853e-01,3.095345528637865939e+01
3.120000000000000000e+03,1.559999999999999964e+01,8.145258025448957051e-01,3.176798108892355543e+01
3.200000000000000000e+03,1.600000000000000000e+01,8.145372626139775196e-01,3.258251835153753007e+01
3.280000000000000000e+03,1.639999999999999858e+01,8.145399343860683095e-01,3.339705828592359893e+01
3.360000000000000000e+03,1.680000000000000071e+01,8.145429726233288648e-01,3.421160125854692780e+01
3.440000000000000000e+03,1.719999999999999929e+01,8.145514222506882174e-01,3.502615268079761535e+01
3.520000000000000000e+03,1.760000000000000142e+01,8.145598352088514460e-01,3.584071251600646946e+01
3.600000000000000000e+03,1.800000000000000000e+01,8.145613441736950788e-01,3.665527386018016642e+01
3.680000000000000000e+03,1.840000000000000213e+01,8.145570252843932213e-01,3.746983088546456031e+01
3.760000000000000000e+03,1.880000000000000071e+01,8.145561083730223917e-01,3.828438699383758603e+01
3.840000000000000000e+03,1.919999999999999929e+01,8.145478802113893524e-01,3.909893487404897883e+01
3.920000000000000000e+03,1.960000000000000142e+01,8.145603395165417204e-01,3.991349521356551833e+01
4.000000000000000000e+03,2.000000000000000000e+01,8.145711340787467059e-01,4.072806634764426548e+01
