time,E_tot,E_matter,E_gauge
0.0,2.1729240903816183,2.1729240903816183,0.0
0.25,2.934497769293049,2.934497769293049,0.0
0.5,2.9983351044032402,2.9983351044032402,0.0
0.75,2.969874025097697,2.969874025097697,0.0
1.0,2.938630299979656,2.938630299979656,0.0
1.25,3.072893465299864,3.072893465299864,0.0
1.5,3.119467286076892,3.119467286076892,0.0
1.75,3.0881114017031637,3.0881114017031637,0.0
2.0,3.19226074583935,3.19226074583935,0.0
2.25,3.2679999416210403,3.2679999416210403,0.0
2.5,3.330599900585004,3.330599900585004,0.0
2.75,3.3994341947410507,3.3994341947410507,0.0
3.0,3.530974856270867,3.530974856270867,0.0
3.25,3.689809382061607,3.689809382061607,0.0
3.5,3.8056044318335682,3.8056044318335682,0.0
3.75,4.02010928424666,4.02010928424666,0.0
4.0,4.280244880685149,4.280244880685149,0.0
4.25,4.555223193471091,4.555223193471091,0.0
4.5,4.914548029393851,4.914548029393851,0.0
4.75,5.380905743659577,5.380905743659577,0.0
5.0,5.964417023912436,5.964417023912436,0.0
5.25,6.662592671576547,6.662592671576547,0.0
5.5,7.546675188484722,7.546675188484722,0.0
5.75,8.656405116489402,8.656405116489402,0.0
6.0,10.011006842139409,10.011006842139409,0.0
6.25,11.73268645113672,11.73268645113672,0.0
6.5,13.894583476513677,13.894583476513677,0.0
6.75,16.613748917741667,16.613748917741667,0.0
7.0,20.003951997496166,20.003951997496166,0.0
7.25,24.266038322047713,24.266038322047713,0.0
7.5,29.661110863888467,29.661110863888467,0.0
7.75,36.458891130492695,36.458891130492695,0.0
8.0,45.02690848338267,45.02690848338267,0.0
8.25,55.88401185244061,55.88401185244061,0.0
8.5,69.65568720919346,69.65568720919346,0.0
8.75,87.14025869083744,87.14025869083744,0.0
9.0,109.40411085541507,109.40411085541507,0.0
9.25,137.8642535650004,137.8642535650004,0.0
9.5,174.33319237179933,174.33319237179933,0.0
9.75,221.26007850349862,221.26007850349862,0.0
10.0,281.97598004316893,281.97598004316893,0.0
10.25,361.10251971152934,361.10251971152934,0.0
10.5,465.16756140983057,465.16756140983057,0.0
10.75,603.8397323789361,603.8397323789361,0.0
11.0,792.1890845277585,792.1890845277585,0.0
11.25,1055.7752759781008,1055.7752759781008,0.0
11.5,1445.3312216217887,1445.3312216217887,0.0
11.75,2096.463128454911,2096.463128454911,0.0
12.0,3408.858298660678,3408.858298660678,0.0
12.25,5637.833697716404,5637.833697716404,0.0
12.5,9188.008900971776,9188.008900971776,0.0
12.75,14325.918598821263,14325.918598821263,0.0
13.0,19523.674292668722,19523.674292668722,0.0
13.25,23778.650210101703,23778.650210101703,0.0
13.5,29696.676637523036,29696.676637523036,0.0
13.75,36972.64528957564,36972.64528957564,0.0
14.0,40730.57803732275,40730.57803732275,0.0
14.25,44727.822779252565,44727.822779252565,0.0
14.5,45816.01409388828,45816.01409388828,0.0
14.75,45720.14003340435,45720.14003340435,0.0
15.0,51140.54207402075,51140.54207402075,0.0
15.25,53657.01502795554,53657.01502795554,0.0
15.5,54813.19269169867,54813.19269169867,0.0
15.75,56461.191702175274,56461.191702175274,0.0
16.0,59962.04249723904,59962.04249723904,0.0
16.25,59969.80835937208,59969.80835937208,0.0
16.5,61329.84505825407,61329.84505825407,0.0
16.75,66017.63260492991,66017.63260492991,0.0
17.0,66928.88384524369,66928.88384524369,0.0
17.25,68614.81491933961,68614.81491933961,0.0
17.5,68870.48425758071,68870.48425758071,0.0
17.75,69531.27400606427,69531.27400606427,0.0
18.0,70872.9656805253,70872.9656805253,0.0
18.25,71134.04558716343,71134.04558716343,0.0
18.5,72599.92976674085,72599.92976674085,0.0
18.75,73188.34612381436,73188.34612381436,0.0
19.0,72430.53547048019,72430.53547048019,0.0
19.25,72159.4116108848,72159.4116108848,0.0
19.5,75641.71422573517,75641.71422573517,0.0
19.75,76578.98372735624,76578.98372735624,0.0
20.0,76133.8654211699,76133.8654211699,0.0
