separation,E_total,E_defrag,E_grad,V_interaction
5.000000000000000000e+00,-3.233764624002151322e+01,-3.471763230793462895e+01,2.379986067913112624e+00,-1.168527937560778440e+00
1.000000000000000000e+01,-3.228271610140571113e+01,-3.466257190894705786e+01,2.379855807541348067e+00,-1.113597798944976347e+00
1.500000000000000000e+01,-3.227751728202041193e+01,-3.465734796126090345e+01,2.379830679240488411e+00,-1.108398979559677144e+00
2.000000000000000000e+01,-3.227871678065435646e+01,-3.465851873612429301e+01,2.379801955469938779e+00,-1.109598478193621673e+00
2.500000000000000000e+01,-3.228099519930778172e+01,-3.466074230547222612e+01,2.379747106164444848e+00,-1.111876896847046936e+00
3.000000000000000000e+01,-3.228396947874539791e+01,-3.466362079373564598e+01,2.379651314990244959e+00,-1.114851176284663126e+00
3.500000000000000000e+01,-3.228761639997381394e+01,-3.466711362685658315e+01,2.379497226882770100e+00,-1.118498097513079159e+00
4.000000000000000000e+01,-3.229193817214992634e+01,-3.467120234334049655e+01,2.379264171190571098e+00,-1.122819869689191563e+00
4.500000000000000000e+01,-3.229694820094336905e+01,-3.467587632666821662e+01,2.378928125724847131e+00,-1.127829898482634263e+00
5.000000000000000000e+01,-3.230267825331596043e+01,-3.468114003151573854e+01,2.378461778199775889e+00,-1.133559950855225651e+00
5.500000000000000000e+01,-3.230919045877129037e+01,-3.468702512428167495e+01,2.377834665510383694e+00,-1.140072156310555584e+00
6.000000000000000000e+01,-3.231659496253612218e+01,-3.469360837158038180e+01,2.377013409044258285e+00,-1.147476660075387400e+00
6.500000000000000000e+01,-3.231374062542994352e+01,-3.468930084164260563e+01,2.375560216212665665e+00,-1.144622322969208739e+00
7.000000000000000000e+01,-3.218994914521341144e+01,-3.455945095416439727e+01,2.369501808950983168e+00,-1.020830842752676659e+00
7.500000000000000000e+01,-3.205666399152799784e+01,-3.441939689325894847e+01,2.362732901730951962e+00,-8.875456890672630550e-01
8.000000000000000000e+01,-3.191393863729567926e+01,-3.426912364727755289e+01,2.355185009981873634e+00,-7.448203348349444752e-01
8.500000000000000000e+01,-3.175814352815351782e+01,-3.410479996367921274e+01,2.346656435525693141e+00,-5.890252256927830388e-01
9.000000000000000000e+01,-3.158724985299394206e+01,-3.392421973314704076e+01,2.336969880153097812e+00,-4.181315505332072746e-01
9.500000000000000000e+01,-3.139409032951592948e+01,-3.371983260279098715e+01,2.325742273275056338e+00,-2.249720270551947010e-01
1.000000000000000000e+02,-3.116911830246073478e+01,-3.348155467881137071e+01,2.312436376350635481e+00,0.000000000000000000e+00
