Lx,Ly,J_hop,m,g_defrag,sigma_defrag,lambda_G,lambda_S,lambda_T,J_exch,E0,antisym_score,sym_score,overlap_prob,singlet_fraction,E_gauss,converged,error_msg
2,2,1.0,0.1,1.0,1.0,0.0,-3.0,0.0,1.0,-10.618980308024828,1.0,-3.0,0.4341477539960499,1.0,0.0,True,
2,2,1.0,0.1,1.0,1.0,0.0,-2.0,0.0,1.0,-10.212770435797271,1.0,-3.0,0.3787705160718481,1.0,0.0,True,
2,2,1.0,0.1,1.0,1.0,0.0,-1.0,0.0,1.0,-9.86014097126387,1.0,-2.999999999999999,0.3272658100156778,1.0,0.0,True,
2,2,1.0,0.1,1.0,1.0,0.0,0.0,0.0,1.0,-9.55650103285343,1.0,-3.000000000000001,0.280949609449596,1.0,0.0,True,
2,2,1.0,0.1,1.0,1.0,2.0,-3.0,0.0,1.0,-8.860140971263856,1.0,-3.0,0.3272658100156779,1.0,1.654531620031356,True,
2,2,1.0,0.1,1.0,1.0,2.0,-2.0,0.0,1.0,-8.556501032853419,1.0,-2.9999999999999996,0.280949609449596,1.0,1.561899218899192,True,
2,2,1.0,0.1,1.0,1.0,2.0,-1.0,0.0,1.0,-8.296307040204356,1.0,-2.9999999999999996,0.24041699057112595,1.0,1.480833981142252,True,
2,2,1.0,0.1,1.0,1.0,2.0,0.0,0.0,1.0,-8.073738547849892,1.0,-3.000000000000001,0.2056564738554855,1.0,1.4113129477109714,True,
2,2,1.0,0.1,1.0,1.0,4.0,-3.0,0.0,1.0,-7.296307040204369,1.0,-2.999999999999999,0.2404169905711261,1.0,2.961667962284505,True,
2,2,1.0,0.1,1.0,1.0,4.0,-2.0,0.0,1.0,-7.073738547849877,1.0,-3.0000000000000018,0.2056564738554852,1.0,2.8226258954219405,True,
2,2,1.0,0.1,1.0,1.0,4.0,-1.0,0.0,1.0,-6.883206310123488,1.0,-2.999999999999999,0.17625264524504566,1.0,2.7050105809801828,True,
2,2,1.0,0.1,1.0,1.0,4.0,0.0,0.0,1.0,-6.719654451046604,1.0,-2.9999999999999996,0.15158345140968618,1.0,2.6063338056387435,True,
2,2,1.0,0.1,1.0,1.0,6.0,-3.0,0.0,1.0,-5.883206310123497,1.0,-3.0,0.17625264524504566,1.0,4.057515871470274,True,
2,2,1.0,0.1,1.0,1.0,6.0,-2.0,0.0,1.0,-5.719654451046597,1.0,-3.0,0.15158345140968582,1.0,3.9095007084581153,True,
2,2,1.0,0.1,1.0,1.0,6.0,-1.0,0.0,1.0,-5.578689147905778,1.0,-2.999999999999999,0.1309661354251601,1.0,3.7857968125509616,True,
2,2,1.0,0.1,1.0,1.0,6.0,0.0,0.0,1.0,-5.456590766751603,1.0,-3.0,0.11374553366709614,1.0,3.6824732020025768,True,
2,2,1.0,0.1,1.0,1.0,8.0,-3.0,0.0,1.0,-4.578689147905778,1.0,-3.000000000000001,0.13096613542516022,1.0,5.047729083401283,True,
2,2,1.0,0.1,1.0,1.0,8.0,-2.0,0.0,1.0,-4.456590766751594,1.0,-3.000000000000001,0.11374553366709615,1.0,4.909964269336771,True,
2,2,1.0,0.1,1.0,1.0,8.0,-1.0,0.0,1.0,-4.350261579578132,1.0,-2.999999999999999,0.09933733636309758,1.0,4.794698690904782,True,
2,2,1.0,0.1,1.0,1.0,8.0,0.0,0.0,1.0,-4.257145921002637,1.0,-2.9999999999999987,0.08724247744514496,1.0,4.69793981956116,True,
2,2,1.0,0.1,1.0,1.0,10.0,-3.0,0.0,1.0,-3.350261579578116,1.0,-2.999999999999999,0.0993373363630976,1.0,5.993373363630976,True,
2,2,1.0,0.1,1.0,1.0,10.0,-2.0,0.0,1.0,-3.2571459210026474,1.0,-2.9999999999999982,0.08724247744514496,1.0,5.872424774451451,True,
2,2,1.0,0.1,1.0,1.0,10.0,-1.0,0.0,1.0,-3.17514477796697,1.0,-3.0,0.07704566659127517,1.0,5.770456665912753,True,
2,2,1.0,0.1,1.0,1.0,10.0,0.0,0.0,1.0,-3.1025360459904174,1.0,-3.000000000000001,0.06840660681697286,1.0,5.68406606816973,True,
