step,time,max_rho,core_sep,x1,y1,x2,y2
0,0.000000,9.92232130e-03,2.60000000e+01,45.000000,32.000000,19.000000,32.000000
50,0.500000,8.92635185e-03,2.80000000e+01,18.000000,32.000000,46.000000,32.000000
100,1.000000,7.42339435e-03,2.63058929e+01,45.000000,34.000000,19.000000,30.000000
150,1.500000,6.20324747e-03,2.64764046e+01,45.000000,34.500000,19.000000,29.500000
200,2.000000,5.37445220e-03,2.66833281e+01,45.000000,35.000000,19.000000,29.000000
250,2.500000,6.71820972e-03,2.71661554e+01,45.500000,30.500000,18.500000,33.500000
300,3.000000,8.60710510e-03,2.31948270e+01,20.500000,33.500000,43.500000,30.500000
350,3.500000,9.57740959e-03,3.00665928e+01,17.000000,31.000000,47.000000,33.000000
400,4.000000,9.82787600e-03,2.94278779e+01,46.500000,29.500000,17.500000,34.500000
450,4.500000,9.49441986e-03,3.04138127e+01,47.000000,29.500000,17.000000,34.500000
500,5.000000,8.40789263e-03,3.05941171e+01,17.000000,29.000000,47.000000,35.000000
550,5.500000,6.90305646e-03,3.22490310e+01,16.000000,30.000000,48.000000,34.000000
600,6.000000,5.51078701e-03,3.25576412e+01,16.000000,29.000000,48.000000,35.000000
650,6.500000,5.57782434e-03,2.08806130e+01,42.000000,35.000000,22.000000,29.000000
700,7.000000,6.04886086e-03,3.22490310e+01,48.000000,30.000000,16.000000,34.000000
750,7.500000,5.82321133e-03,3.25576412e+01,16.000000,29.000000,48.000000,35.000000
800,8.000000,5.32828060e-03,2.02484567e+01,41.500000,28.500000,22.500000,35.500000
850,8.500000,4.91888034e-03,3.05941171e+01,49.000000,35.000000,15.000000,29.000000
900,9.000000,4.64208360e-03,3.02654919e+01,47.000000,34.000000,17.000000,30.000000
950,9.500000,4.56109837e-03,3.05941171e+01,17.000000,29.000000,47.000000,35.000000
1000,10.000000,4.09009660e-03,3.22490310e+01,48.000000,34.000000,16.000000,30.000000
