t,E_total,E_kin,E_defrag,E_symm,E_EM
0.000000000000000000e+00,5.437803197032033076e+00,3.457630023543967646e+00,1.980173173488065208e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,6.004946818236109429e+00,3.802022995658830062e+00,1.973420851985541624e+00,0.000000000000000000e+00,2.295029705917380203e-01
4.000000000000000000e+00,1.405465647999413932e+03,4.202434074957719368e+00,1.965056225439256510e+00,0.000000000000000000e+00,1.399298157699016883e+03
6.000000000000000000e+00,3.473309058159515262e+07,4.670404309662610665e+00,1.955072035036870659e+00,0.000000000000000000e+00,3.473308395611880720e+07
8.000000000000000000e+00,1.423299246839265869e+12,5.220213873042425234e+00,1.943011738251302578e+00,0.000000000000000000e+00,1.423299246832102539e+12
1.000000000000000000e+01,7.073127446911191200e+16,5.869595042437898869e+00,1.928444385365880143e+00,0.000000000000000000e+00,7.073127446911190400e+16
1.200000000000000000e+01,3.910135489229809517e+21,6.640695653539762766e+00,1.910890009203622952e+00,0.000000000000000000e+00,3.910135489229809517e+21
1.400000000000000000e+01,2.314014801029560017e+26,7.561150171464722902e+00,1.889416007008080101e+00,0.000000000000000000e+00,2.314014801029560017e+26
1.600000000000000000e+01,1.434970330790612538e+31,8.665622917380067847e+00,1.863255709336108623e+00,0.000000000000000000e+00,1.434970330790612538e+31
1.800000000000000000e+01,9.202957118864671960e+35,9.997317734757183771e+00,1.830456341293992040e+00,0.000000000000000000e+00,9.202957118864671960e+35
2.000000000000000000e+01,6.052674844624667900e+40,1.161151158423133012e+01,1.791537391468868812e+00,0.000000000000000000e+00,6.052674844624667900e+40
